market year,calendar year,calendar month,commodity,attribute,unit,amount,country
2025,2025,12,soybeans,yield,yield (metric tons per hectare),1.6129,japan
2025,2025,12,soybeans,area harvested,1000 hectares,145.0,mexico
2025,2025,12,soybeans,beginning stocks,1000 metric tons,582.0,mexico
2025,2025,12,soybeans,production,1000 metric tons,280.0,mexico
2025,2025,12,soybeans,imports,1000 metric tons,6700.0,mexico
2025,2025,12,soybeans,total supply,1000 metric tons,7562.0,mexico
2025,2025,12,soybeans,exports,1000 metric tons,10.0,mexico
2025,2025,12,soybeans,crush,1000 metric tons,6800.0,mexico
2025,2025,12,soybeans,food use domestic consumption,1000 metric tons,0.0,mexico
2025,2025,12,soybeans,feed waste domestic consumption,1000 metric tons,85.0,mexico
2025,2025,12,soybeans,domestic consumption,1000 metric tons,6885.0,mexico
2025,2025,12,soybeans,ending stocks,1000 metric tons,667.0,mexico
2025,2025,12,soybeans,total distribution,1000 metric tons,7562.0,mexico
2025,2025,12,soybeans,yield,yield (metric tons per hectare),1.931,mexico
2025,2025,12,corn,area harvested,1000 hectares,36441.0,united
2025,2025,12,corn,beginning stocks,1000 metric tons,38905.0,united
2025,2025,12,corn,production,1000 metric tons,425525.0,united
2025,2025,12,corn,imports,1000 metric tons,635.0,united
2025,2025,12,corn,trade year imports,1000 metric tons,650.0,united
2025,2025,12,corn,trade year imports from u.s.,1000 metric tons,0.0,united
2025,2025,12,corn,total supply,1000 metric tons,465065.0,united
2025,2025,12,corn,exports,1000 metric tons,81284.0,united
2025,2025,12,corn,trade year exports,1000 metric tons,80000.0,united
2025,2025,12,corn,feed domestic consumption,1000 metric tons,154947.0,united
2025,2025,12,corn,"food, seed, and industrial consumption",1000 metric tons,177300.0,united
2025,2025,12,corn,domestic consumption,1000 metric tons,332247.0,united
2025,2025,12,corn,ending stocks,1000 metric tons,51534.0,united
2025,2025,12,corn,total distribution,1000 metric tons,465065.0,united
2025,2025,12,corn,yield,yield (metric tons per hectare),11.6771,united
2025,2025,12,soybeans,area harvested,1000 hectares,10500.0,china
2025,2025,12,soybeans,beginning stocks,1000 metric tons,44488.0,china
2025,2025,12,soybeans,production,1000 metric tons,21000.0,china
2025,2025,12,soybeans,imports,1000 metric tons,112000.0,china
2025,2025,12,soybeans,total supply,1000 metric tons,177488.0,china
2025,2025,12,soybeans,exports,1000 metric tons,100.0,china
2025,2025,12,soybeans,crush,1000 metric tons,108000.0,china
2025,2025,12,soybeans,food use domestic consumption,1000 metric tons,18500.0,china
2025,2025,12,soybeans,feed waste domestic consumption,1000 metric tons,6500.0,china
2025,2025,12,soybeans,domestic consumption,1000 metric tons,133000.0,china
2025,2025,12,soybeans,ending stocks,1000 metric tons,44388.0,china
2025,2025,12,soybeans,total distribution,1000 metric tons,177488.0,china
2025,2025,12,soybeans,yield,yield (metric tons per hectare),2.0,china
2025,2025,12,wheat,area harvested,1000 hectares,232.0,japan
2025,2025,12,wheat,beginning stocks,1000 metric tons,1162.0,japan
2025,2025,12,wheat,production,1000 metric tons,1100.0,japan
2025,2025,12,wheat,imports,1000 metric tons,5450.0,japan
2025,2025,12,wheat,trade year imports,1000 metric tons,5450.0,japan
2025,2025,12,wheat,trade year imports from u.s.,1000 metric tons,0.0,japan
2025,2025,12,wheat,total supply,1000 metric tons,7712.0,japan
2025,2025,12,wheat,exports,1000 metric tons,340.0,japan
2025,2025,12,wheat,trade year exports,1000 metric tons,340.0,japan
2025,2025,12,wheat,feed domestic consumption,1000 metric tons,700.0,japan
2025,2025,12,wheat,"food, seed, and industrial consumption",1000 metric tons,5500.0,japan
2025,2025,12,wheat,domestic consumption,1000 metric tons,6200.0,japan
2025,2025,12,wheat,ending stocks,1000 metric tons,1172.0,japan
2025,2025,12,wheat,total distribution,1000 metric tons,7712.0,japan
2025,2025,12,wheat,yield,yield (metric tons per hectare),4.7414,japan
2025,2025,12,soybean meal,crush,1000 metric tons,69536.0,united
2025,2025,12,soybean meal,extraction rate,percentage,0.7857,united
2025,2025,12,soybean meal,beginning stocks,1000 metric tons,408.0,united
2025,2025,12,soybean meal,production,1000 metric tons,54635.0,united
2025,2025,12,soybean meal,imports,1000 metric tons,612.0,united
2025,2025,12,soybean meal,total supply,1000 metric tons,55655.0,united
2025,2025,12,soybean meal,exports,1000 metric tons,17418.0,united
2025,2025,12,soybean meal,industrial domestic consumption,1000 metric tons,0.0,united
2025,2025,12,soybean meal,food use domestic consumption,1000 metric tons,0.0,united
2025,2025,12,soybean meal,feed waste domestic consumption,1000 metric tons,37806.0,united
2025,2025,12,soybean meal,domestic consumption,1000 metric tons,37806.0,united
2025,2025,12,soybean meal,ending stocks,1000 metric tons,431.0,united
2025,2025,12,soybean meal,total distribution,1000 metric tons,55655.0,united
2025,2025,12,soybean meal,soybean meal equivalent,1000 metric tons,37806.0,united
2025,2025,12,wheat,area harvested,1000 hectares,23965.0,european
2025,2025,12,wheat,beginning stocks,1000 metric tons,11714.0,european
2025,2025,12,wheat,production,1000 metric tons,144000.0,european
