date_collected,week_ending_date,calendar_year,marketing_year,calendar_month,marketing_year_month,calendar_week,marketing_year_week,commodity,country,weekly_exports,accumulated_exports,outstanding_sales,gross_new_sales,current_marketing_year_net_sales,current_marketing_year_total_commitment,next_marketing_year_outstanding_sales,next_marketing_year_net_sales,unit
04-24-2026,2026-04-09,2026,2026,4,7,15,28,soybean-oil,guatemala,0,25395,0,0,0,25395,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,srw-wheat,south-korea,110,1095,1925,1000,1000,3020,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,corn,vietnam,1673,1107034,290789,4010,4010,1397823,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,srw-wheat,nigeria,23981,174025,28000,0,23981,202025,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,srw-wheat,colombia,0,235987,17300,0,0,253287,17500,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,hrw-wheat,colombia,0,314412,23250,0,0,337662,13500,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,wheat,japan,0,1774463,408381,29677,29677,2182844,68730,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,soybeans,colombia,12306,342277,76364,1306,11306,418641,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,srw-wheat,thailand,538,11111,492,0,0,11603,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,srw-wheat,canada,0,3564,519,0,0,4083,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,soybeans,south-korea,1556,320244,19876,192,192,340120,600,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,7,15,28,soybean-meal,canada,7737,480190,413824,6673,-7509,894014,6426,1488,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,corn,mexico,469877,15138659,6235544,182704,168422,21374203,1021431,56460,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,hrw-wheat,bangladesh,0,395022,0,0,0,395022,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,corn,egypt,0,524847,7206,0,0,532053,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,soybeans,mexico,68397,3516533,1098582,2745,-378,4615115,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,corn,honduras,22725,752572,219032,348,348,971604,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,7,15,28,soybean-meal,bangladesh,0,104200,0,0,0,104200,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,srw-wheat,honduras,0,99575,16100,0,0,115675,19483,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,wheat,mexico,90741,3675686,805438,44226,25140,4481124,365125,22000,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,7,15,28,soybean-oil,colombia,0,29231,2600,0,0,31831,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,7,15,28,soybean-oil,canada,336,14625,22729,147,-681,37354,36,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,wheat,canada,745,29103,10136,0,0,39239,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,11,15,45,wheat,egypt,0,75151,35000,0,0,110151,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,corn,european-union,227279,4700238,416770,180215,293879,5117008,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,corn,taiwan,84546,1917367,790954,5024,4909,2708321,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,8,15,32,soybeans,japan,24357,1469021,357144,1151,20151,1826165,54849,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,7,15,28,soybean-oil,honduras,0,10793,0,0,0,10793,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,7,15,28,soybean-meal,european-union,160,438940,228908,100000,98888,667848,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,7,15,28,soybean-oil,south-korea,0,0,0,0,0,0,0,0,Metric Tons
04-24-2026,2026-04-09,2026,2026,4,7,15,28,soybean-meal,vietnam,3027,482789,56516,1716,1716,539305,0,0,Metric Tons
